Cd81	chr7	+	143065942	143066017
Smarca4	chr9	+	21632804	21633054
Smarca4	chr9	+	21677952	21678051
Eme1	chr11	-	94647290	94647406
Eme1	chr11	-	94650222	94651023
Rpl18a	chr8	-	70895915	70896045
Rpl18a	chr8	-	70895915	70896045
Rpl18a	chr8	-	70896132	70896180
Rpl18a	chr8	-	70896132	70896312
Rpl18a	chr8	-	70896132	70896312
Rpl18a	chr8	-	70896145	70896312
Etv5	chr16	-	22401671	22401931
Etv5	chr16	-	22436019	22436067
Cbx7	chr15	-	79918752	79918825
Cbx7	chr15	-	79918752	79918927
Cbx7	chr15	-	79918752	79919104
Cbx7	chr15	-	79930585	79930629
Hdgfrp2	chr17	+	56097881	56097985
Rpa3	chr6	-	8257686	8257761
Mff	chr1	+	82728066	82728238
Mff	chr1	+	82747082	82747142
Ehd1	chr19	+	6294213	6294626
Nup93	chr8	+	94220559	94220611
Nup93	chr8	+	94281270	94281333
Nup93	chr8	+	94286488	94286617
Nup93	chr8	+	94309587	94309705
Gpx4	chr10	+	80054699	80054844
Gins4	chr8	-	23227248	23227339
Uso1	chr5	+	92198335	92198434
Utrn	chr10	-	12486385	12486654
Rrp36	chr17	-	46672705	46672847
Gtf2h3	chr5	+	124594762	124594831
Gtf2h3	chr5	+	124595552	124595688
Prosc	chr8	+	27045397	27045433
Prosc	chr8	+	27051258	27051401
Suds3	chr5	-	117099300	117099322
Lsm12	chr11	-	102164543	102164636
Yap1	chr9	-	7962282	7962402
Yap1	chr9	-	7962288	7962402
Arcn1	chr9	-	44745417	44745622
Rad23a	chr8	-	84835754	84835919
Rad23a	chr8	-	84835819	84835919
Rad23a	chr8	-	84837688	84837767
Rad23a	chr8	-	84838272	84838311
Rad23a	chr8	-	84838272	84838328
Nol11	chr11	-	107184739	107184888
Cdca7l	chr12	+	117865029	117865164
Sept2	chr1	+	93479463	93479599
Sept2	chr1	+	93489123	93489154
Sept2	chr1	+	93489127	93489154
Sept2	chr1	+	93491156	93491277
Sept2	chr1	+	93495578	93495665
Grb10	chr11	-	11938409	11938484
Grb10	chr11	-	11954743	11954908
Ass1	chr2	+	31510109	31510241
Ppp6r3	chr19	-	3478277	3478364
Ppp6r3	chr19	-	3507241	3507355
Ppp6r3	chr19	-	3518244	3518382
Ppp6r3	chr19	-	3526701	3526929
Ppp6r3	chr19	-	3526701	3526934
Rps24	chr14	+	24491749	24491815
Rps24	chr14	+	24491906	24492116
Rps24	chr14	+	24494051	24494069
Cct2	chr10	-	117062975	117063050
Cct2	chr10	-	117062975	117063139
Polr2j	chr5	+	136119994	136120084
Basp1	chr15	-	25388213	25388367
Immt	chr6	+	71846285	71846475
Immt	chr6	+	71866725	71866740
Immt	chr6	+	71872793	71872923
Melk	chr4	+	44332879	44332966
Angel2	chr1	+	190932866	190933192
Angel2	chr1	+	190932866	190933192
Angel2	chr1	+	190942120	190942247
