ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
0	"ENSMUSG00000112148.1"	"Lilrb4a"	chr10	+	51491433	51492163	51491860	51492163	51491196	51491232
1	"ENSMUSG00000112148.1"	"Lilrb4a"	chr10	+	51491433	51492163	51491960	51492163	51491196	51491232
2	"ENSMUSG00000112148.1"	"Lilrb4a"	chr10	+	51491860	51492163	51491960	51492163	51491196	51491232
3	"ENSMUSG00000112148.1"	"Lilrb4a"	chr10	+	51494721	51494845	51494792	51494845	51493169	51494178
4	"ENSMUSG00000063236.6"	"RP24-324P21.9"	chr15	+	76949543	76949690	76949546	76949690	76949067	76949152
5	"ENSMUSG00000039936.18"	"Pik3cd"	chr4	-	149654022	149654138	149654022	149654135	149654224	149654403
6	"ENSMUSG00000039936.18"	"Pik3cd"	chr4	-	149655126	149655257	149655126	149655248	149655335	149655500
7	"ENSMUSG00000039936.18"	"Pik3cd"	chr4	-	149655335	149655503	149655335	149655500	149655580	149655631
8	"ENSMUSG00000039936.18"	"Pik3cd"	chr4	-	149657245	149657467	149657245	149657455	149658381	149658471
9	"ENSMUSG00000032187.16"	"Smarca4"	chr9	+	21686012	21686275	21686021	21686275	21678928	21679147
10	"ENSMUSG00000032187.16"	"Smarca4"	chr9	+	21699799	21699908	21699802	21699908	21686021	21686275
11	"ENSMUSG00000024979.13"	"Tectb"	chr19	+	55183932	55184035	55183962	55184035	55183716	55183859
12	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1170903	1171002	1170903	1170954	1174727	1174854
13	"ENSMUSG00000014850.15"	"Msh3"	chr13	-	92235573	92235731	92235573	92235728	92249826	92249938
14	"ENSMUSG00000014850.15"	"Msh3"	chr13	-	92351230	92351451	92351230	92351360	92353224	92353342
15	"ENSMUSG00000026409.14"	"Pfkfb2"	chr1	-	130702230	130702438	130702230	130702419	130706425	130706482
16	"ENSMUSG00000025255.18"	"Zfhx4"	chr3	+	5245142	5245645	5245220	5245645	5241669	5244299
17	"ENSMUSG00000025255.18"	"Zfhx4"	chr3	+	5396570	5396701	5396573	5396701	5390335	5390452
18	"ENSMUSG00000021336.17"	"Slc17a4"	chr13	-	23904711	23905330	23904711	23904798	23905416	23905650
19	"ENSMUSG00000039795.14"	"Zfand1"	chr3	-	10340993	10341149	10340993	10341145	10344800	10344922
20	"ENSMUSG00000039795.14"	"Zfand1"	chr3	-	10347164	10347411	10347164	10347204	10348509	10348552
21	"ENSMUSG00000045128.9"	"Rpl18a"	chr8	-	70895599	70896045	70895599	70895709	70896132	70896312
22	"ENSMUSG00000041064.13"	"Pif1"	chr9	+	65591686	65591859	65591719	65591859	65589947	65590054
23	"ENSMUSG00000028256.16"	"Odf2l"	chr3	+	145145875	145148616	145148530	145148616	145144311	145144416
24	"ENSMUSG00000040613.14"	"Apobec1"	chr6	-	122591086	122591260	122591086	122591204	122596631	122596777
25	"ENSMUSG00000030577.14"	"Cd22"	chr7	-	30872735	30872999	30872735	30872875	30873134	30873419
26	"ENSMUSG00000030577.14"	"Cd22"	chr7	-	30877438	30877843	30877438	30877688	30878049	30878107
27	"ENSMUSG00000030577.14"	"Cd22"	chr7	-	30877438	30877917	30877438	30877688	30878049	30878107
28	"ENSMUSG00000030577.14"	"Cd22"	chr7	-	30877438	30877917	30877438	30877843	30878049	30878107
29	"ENSMUSG00000030577.14"	"Cd22"	chr7	-	30879928	30880031	30879928	30880017	30880235	30880278
30	"ENSMUSG00000015790.16"	"Surf1"	chr2	-	26913576	26913690	26913576	26913658	26913912	26914075
31	"ENSMUSG00000015790.16"	"Surf1"	chr2	-	26915431	26915532	26915431	26915514	26915595	26915769
32	"ENSMUSG00000015790.16"	"Surf1"	chr2	-	26915595	26915749	26915595	26915729	26915954	26916006
33	"ENSMUSG00000015790.16"	"Surf1"	chr2	-	26915595	26915769	26915595	26915729	26915954	26916006
34	"ENSMUSG00000015790.16"	"Surf1"	chr2	-	26915595	26915769	26915595	26915749	26915954	26916006
35	"ENSMUSG00000015790.16"	"Surf1"	chr2	-	26915595	26915784	26915595	26915769	26916256	26916345
36	"ENSMUSG00000053411.16"	"Cbx7"	chr15	-	79918752	79918927	79918752	79918825	79921371	79921438
37	"ENSMUSG00000053411.16"	"Cbx7"	chr15	-	79918752	79919104	79918752	79918825	79921371	79921438
38	"ENSMUSG00000053411.16"	"Cbx7"	chr15	-	79918752	79919104	79918752	79918927	79921371	79921438
39	"ENSMUSG00000026883.17"	"Dab2ip"	chr2	+	35719852	35720741	35719918	35720741	35718759	35718938
40	"ENSMUSG00000034744.13"	"Nagk"	chr6	+	83798482	83798654	83798543	83798654	83797955	83798097
41	"ENSMUSG00000021708.17"	"Rasgrf2"	chr13	-	91972180	91972288	91972180	91972285	91982593	91982856
42	"ENSMUSG00000002833.11"	"Hdgfrp2"	chr17	+	56096820	56097016	56096847	56097016	56096204	56096276
43	"ENSMUSG00000002833.11"	"Hdgfrp2"	chr17	+	56096820	56097016	56096850	56097016	56096204	56096276
44	"ENSMUSG00000002833.11"	"Hdgfrp2"	chr17	+	56096847	56097016	56096850	56097016	56096204	56096276
45	"ENSMUSG00000002833.11"	"Hdgfrp2"	chr17	+	56100344	56100592	56100347	56100592	56099858	56099985
46	"ENSMUSG00000060538.14"	"Tmem219"	chr7	-	126897025	126897227	126897025	126897224	126898796	126898923
47	"ENSMUSG00000096629.7"	"RP23-97D14.7"	chr14	-	5796054	5796198	5796054	5796186	5797135	5797298
48	"ENSMUSG00000033955.12"	"Tnks1bp1"	chr2	+	85050860	85050973	85050864	85050973	85048021	85048135
49	"ENSMUSG00000033955.12"	"Tnks1bp1"	chr2	+	85058059	85059487	85058125	85059487	85051924	85052555
50	"ENSMUSG00000070953.13"	"Rabepk"	chr2	-	34785566	34785728	34785566	34785725	34790502	34790655
51	"ENSMUSG00000052656.12"	"Rnf103"	chr6	+	71508685	71510881	71508868	71510881	71505733	71505849
52	"ENSMUSG00000026150.14"	"Mff"	chr1	+	82735415	82735507	82735418	82735507	82731112	82731282
53	"ENSMUSG00000005125.13"	"Ndrg1"	chr15	-	66948378	66948484	66948378	66948424	66959361	66959397
54	"ENSMUSG00000005125.13"	"Ndrg1"	chr15	-	66960471	66960615	66960471	66960552	66969503	66969616
55	"ENSMUSG00000038390.11"	"Gpr162"	chr6	-	124862908	124863025	124862908	124862960	124863670	124863712
56	"ENSMUSG00000090112.8"	"Shprh"	chr10	+	11166485	11166737	11166607	11166737	11164344	11164995
57	"ENSMUSG00000055254.15"	"Ntrk2"	chr13	+	58887191	58888479	58887270	58888479	58878162	58878262
58	"ENSMUSG00000029407.10"	"Uso1"	chr5	+	92187697	92187816	92187704	92187816	92187234	92187345
59	"ENSMUSG00000038274.11"	"Fau"	chr19	+	6058242	6058325	6058245	6058325	6057887	6058001
60	"ENSMUSG00000062012.14"	"Zfp13"	chr17	-	23581056	23581270	23581056	23581225	23585437	23585574
61	"ENSMUSG00000031485.15"	"Prosc"	chr8	+	27045799	27045999	27045923	27045999	27045397	27045433
62	"ENSMUSG00000038838.15"	"Vars2"	chr17	-	35660403	35660597	35660403	35660509	35660723	35660799
63	"ENSMUSG00000033576.12"	"Apol6"	chr15	+	77047007	77047131	77047030	77047131	77045664	77045758
64	"ENSMUSG00000033576.12"	"Apol6"	chr15	+	77050606	77051405	77050661	77051405	77047030	77047131
65	"ENSMUSG00000022441.17"	"Efcab6"	chr15	-	83973242	83973364	83973242	83973361	83983443	83983556
66	"ENSMUSG00000053110.13"	"Yap1"	chr9	-	7939139	7939164	7939139	7939152	7952952	7953134
67	"ENSMUSG00000029075.6"	"Tnfrsf4"	chr4	+	156015299	156015452	156015385	156015452	156014901	156015009
68	"ENSMUSG00000010110.17"	"Stx5a"	chr19	+	8754876	8755642	8754908	8755642	8749905	8750027
69	"ENSMUSG00000003813.15"	"Rad23a"	chr8	-	84837459	84837593	84837459	84837590	84837688	84837767
70	"ENSMUSG00000018433.14"	"Nol11"	chr11	-	107173209	107173461	107173209	107173401	107173603	107173729
71	"ENSMUSG00000022324.15"	"Matn2"	chr15	+	34433032	34433167	34433089	34433167	34432679	34432751
72	"ENSMUSG00000064036.15"	"Mro"	chr18	+	73873220	73873406	73873223	73873406	73871917	73872064
73	"ENSMUSG00000035521.13"	"Gnptg"	chr17	-	25235344	25235480	25235344	25235459	25235533	25235627
74	"ENSMUSG00000020918.14"	"Kat2a"	chr11	-	100708845	100708985	100708845	100708982	100709075	100709177
75	"ENSMUSG00000111258.1"	"RP23-368K22.5"	chr9	-	100389093	100389192	100389093	100389188	100389453	100389523
